时间戳：2024年05月09日10:39:40 股票代码：600990           item         value
23          涨跌  6.600000e-01
24          总手  3.008790e+05
25          金额  6.994559e+08
26          换手  1.118000e+01
27          量比  5.480000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.371100e+05
35          内盘  1.637690e+05

时间戳：2024年05月09日10:40:31 股票代码：600990           item         value
0       sell_5  2.339000e+01
1   sell_5_vol  2.800000e+03
2       sell_4  2.338000e+01
3   sell_4_vol  2.500000e+03
4       sell_3  2.336000e+01
5   sell_3_vol  5.500000e+03
6       sell_2  2.334000e+01
7   sell_2_vol  5.000000e+02
8       sell_1  2.329000e+01
9   sell_1_vol  1.080000e+04
10       buy_1  2.328000e+01
11   buy_1_vol  4.000000e+02
12       buy_2  2.327000e+01
13   buy_2_vol  1.000000e+02
14       buy_3  2.326000e+01
15   buy_3_vol  8.000000e+02
16       buy_4  2.325000e+01
17   buy_4_vol  2.000000e+03
18       buy_5  2.324000e+01
19   buy_5_vol  2.600000e+03
20          最新  2.329000e+01
21          均价  2.325000e+01
22          涨幅  2.920000e+00
23          涨跌  6.600000e-01
24          总手  3.008950e+05
25          金额  6.994932e+08
26          换手  1.119000e+01
27          量比  5.480000e+00
28          最高  2.408000e+01
29          最低  2.185000e+01
30          今开  2.189000e+01
31          昨收  2.263000e+01
32          涨停  2.489000e+01
33          跌停  2.037000e+01
34          外盘  1.371150e+05
35          内盘  1.637800e+05

时间戳：2024年05月09日10:40:36 股票代码：600990           item         value
0       sell_5  2.338000e+01
1   sell_5_vol  2.500000e+03
2       sell_4  2.336000e+01
3   sell_4_vol  5.500000e+03
4       sell_3  2.334000e+01
5   sell_3_vol  5.000000e+02
6       sell_2  2.329000e+01
7   sell_2_vol  4.500000e+03
8       sell_1  2.328000e+01
9   sell_1_vol  4.900000e+03
10       buy_1  2.327000e+01
11   buy_1_vol  8.000000e+02
12       buy_2  2.326000e+01
13   buy_2_vol  8.000000e+02
14       buy_3  2.325000e+01
